2026-02-23 14:46:25,285 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 14:49:54,157 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 14:50:13,502 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:50:35,583 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 14:51:13,510 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:51:13,515 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:51:13,525 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:51:13,529 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:51:13,533 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:51:24,101 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 14:52:13,545 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:53:13,550 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:53:13,554 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:53:13,559 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:54:13,574 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:54:13,579 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:57:14,081 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 14:57:27,945 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 14:59:22,023 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:00:43,611 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:00:53,841 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:01:45,436 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:02:26,383 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:04:19,375 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:07:15,026 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:10:53,658 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:12:27,029 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:13:19,231 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:14:21,448 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:15:23,238 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:16:04,345 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:17:14,309 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:17:14,320 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:17:16,758 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:18:08,112 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:18:14,341 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:18:14,344 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:18:14,359 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:20:03,241 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:20:57,903 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:23:02,343 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:23:12,987 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:23:23,486 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:24:26,092 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:26:14,441 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:26:14,446 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:26:14,452 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:27:14,459 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:27:14,468 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:29:08,318 | ERROR | bot | ❌ Erro crítico ao atualizar bot_bridge: [WinError 5] Acesso negado: 'bot_bridge.json.tmp' -> 'bot_bridge.json'
2026-02-23 15:29:14,482 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:29:14,485 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
2026-02-23 15:30:14,500 | ERROR | rejection_logger | ❌ Erro ao simular saída para VALE3: module 'utils' has no attribute 'get_rates_range'
